항목,값
상호명,배꼽집 본점
업종,한식
주소,"서울특별시 마포구 월드컵북로54길 17 사보이시티 B동 2층 206,210호"
전화,
영업시간,
소개,
웹사이트,
갱신,2026-08-20 08:23
